episode,reward,loss,energy_saving,latency,sla_violations,active_links,cluster_count
1,-186.9277213801648,0.0,0.8066632500000002,17.929798663468656,41.1214953271028,202,2
2,-174.3360364035438,0.9951990961000837,0.8065237500000002,17.447878073426924,32.158590308370044,205,3
3,-167.00661225750443,0.22904016822576523,0.8066655000000001,17.183322042694428,25.56053811659193,204,3
4,-128.52382153643984,0.13756544210016727,0.8062380000000001,15.163893019202257,20.614035087719298,201,2
5,-164.50350255259536,0.132505460139364,0.805968,16.9883076296535,23.043478260869566,203,3
6,-176.40891822539254,0.0585544122569263,0.8052412500000001,17.56336186514588,28.444444444444443,202,3
7,-180.73298759189564,0.06363040167838335,0.8057340000000001,17.616105517590626,35.86497890295359,204,3
8,-191.69835738355349,0.05541111489757895,0.806634,18.14375315242759,34.59715639810427,203,4
9,-166.50240402960156,0.06822362588718534,0.8063707500000001,17.144452114739696,34.403669724770644,201,3
10,-140.5779993449488,0.0789686537720263,0.8064585000000001,15.923037962037174,24.378109452736318,204,3
11,-184.969054364274,0.10283799141645432,0.8063190000000001,17.887389930251473,28.691983122362867,200,3
12,-169.8353562382238,0.13898190295323729,0.8065980000000001,17.212806425712312,27.102803738317753,200,3
13,-146.45410430877956,0.15200938744470477,0.8065912500000002,15.949130364642361,32.91139240506329,201,3
14,-152.83606668719486,0.16791914774104952,0.8060760000000002,16.550087843507885,23.52941176470588,202,3
15,-177.90856610842533,0.17266075236722828,0.8064135000000001,17.52580052741268,46.288209606986904,200,3
16,-169.47050993825155,0.21948924016207458,0.8066655000000001,17.16447736523746,39.63963963963964,206,3
17,-133.73853904649977,0.24221566680818796,0.80663625,15.641500153854544,18.4549356223176,200,3
18,-156.38868351799803,0.25687829334288836,0.8051782500000002,16.496991689247206,42.465753424657535,200,3
19,-171.8137828722104,0.2914301194623113,0.8065125000000001,17.379039168637725,26.291079812206576,204,3
20,-185.89631445306526,0.31287857428193094,0.8065485000000001,18.044279364475003,35.53719008264463,206,3
21,-180.23604326287955,0.34154736030846833,0.8064427500000002,17.73496309919361,37.72727272727273,203,3
22,-157.76763229423818,0.36613909520208837,0.8063595000000002,16.661884783899744,24.545454545454547,202,3
23,-170.77752241288422,0.4065947886556387,0.8063685,17.210203006027534,26.666666666666668,202,3
24,-173.14491735867477,0.47053497850894926,0.8064540000000002,17.393805862201088,30.125523012552303,204,3
25,-181.61663621187733,0.48244519084692,0.8064495000000003,17.602112804912647,32.01754385964912,201,3
26,-128.46678064760357,0.4854881472140551,0.8055922500000001,15.24780547407229,16.19047619047619,202,3
27,-175.3490735577705,0.508594548329711,0.8064765000000002,17.517356274280313,48.24561403508772,200,4
28,-190.00660404721117,0.5093566928058862,0.8065957500000002,18.1824124629954,31.428571428571427,203,3
29,-183.52428356118182,0.5876242157816887,0.806652,18.045410044174247,21.818181818181817,200,3
30,-162.6195464680614,0.6537627440690994,0.8063257500000001,16.900114353998653,41.333333333333336,200,3
31,-143.24485844491528,0.6807129634916782,0.8066677500000001,15.918962637355857,23.636363636363637,200,3
32,-160.5067940791499,0.7933208183944225,0.8058532500000001,16.846055158692955,21.333333333333336,200,3
33,-146.55020277596418,0.8228877712786198,0.8058060000000001,16.114202349978253,27.983539094650205,200,3
34,-170.32882067336706,0.9319818371534347,0.8065372500000001,17.34545595403519,30.837004405286343,200,3
35,-140.25716859875786,0.992353305965662,0.8052322500000002,15.527094248191245,21.86046511627907,202,3
36,-184.77833369671924,1.1113765054941178,0.8054685,17.72648058701328,43.30357142857143,202,3
37,-178.37918315427362,1.1591115163266659,0.8065755000000001,17.564405205893355,18.571428571428573,201,3
38,-140.48538186124398,1.3066888804733754,0.8061367500000002,15.84177270558518,31.330472103004293,200,3
39,-142.78144708367114,1.4204949790239334,0.8066565000000001,16.036457687508754,33.035714285714285,200,3
40,-179.1526104067342,1.5553173264861107,0.8065012500000002,17.615986561146386,21.973094170403588,200,3
41,-142.26498593788276,1.6166764536499978,0.8064202500000002,15.80184188802651,20.0,200,3
42,-169.02007251939364,1.8247705066204072,0.8064405000000002,17.170305902902182,20.588235294117645,200,3
43,-150.2417747394824,2.0322662577033044,0.8061052500000001,16.203043493063355,28.695652173913043,200,4
44,-158.01098628451092,2.2130848386883737,0.8064112500000001,16.6597236775708,28.019323671497588,204,3
45,-163.26739737562093,2.334722784757614,0.806121,16.95334518018211,23.555555555555554,200,3
46,-152.52198132109433,2.455218186378479,0.8065417500000001,16.427574819057643,35.09615384615385,200,3
47,-159.96696594628924,2.687569083571434,0.8063550000000003,16.79900345436149,19.246861924686193,202,4
48,-176.35157062456219,2.8667969062924383,0.8056170000000001,17.672326785544218,41.228070175438596,201,3
49,-171.54642558763516,3.0686310279369353,0.8066115000000003,17.305288207642114,28.31050228310502,204,3
50,-163.43572347242502,3.3369682747125626,0.8065440000000001,16.918241862313902,27.27272727272727,200,5
51,-168.52331183193868,3.783373861908913,0.8064990000000002,17.07554634110294,16.033755274261605,202,3
52,-161.70335017862996,3.897510288953781,0.8059050000000002,16.893111175851267,17.48878923766816,202,3
53,-122.10619602985865,3.8625975471735,0.8053852500000002,15.0760551137321,33.62068965517241,200,4
54,-168.67162585939727,4.256268349289894,0.8063797500000001,17.13926312026834,17.03056768558952,202,3
55,-172.7481265262414,4.804438403844833,0.8057407500000002,17.59199790572434,40.476190476190474,200,3
56,-175.75747925532147,5.032912826538086,0.8065282500000001,17.45948746494704,40.55299539170507,204,3
57,-194.0109804618257,5.164275641441345,0.8065102500000001,18.450002638995212,31.65137614678899,200,3
58,-165.32679479253758,5.224977096915245,0.8067127500000001,17.21463071201534,30.630630630630627,200,3
59,-211.43382508448215,5.208559014797211,0.8065035,19.09536329766854,30.666666666666664,200,3
60,-160.5456618453399,5.460725187659263,0.8067375000000001,16.827085876896053,40.26548672566372,203,3
61,-159.62875472146303,5.957481644153595,0.80662275,16.692465632895615,25.55066079295154,201,4
62,-172.3750092396695,5.755501371622086,0.8065642500000001,17.31675089628496,43.203883495145625,200,3
63,-136.92110648584114,6.2053747141361235,0.8064697500000001,15.470169798512467,21.333333333333336,200,3
64,-140.07550116718465,6.468817213773727,0.8053560000000002,15.775230607515976,7.52212389380531,202,3
65,-139.2073626929344,6.687929211258888,0.8056845000000001,15.769712383216543,23.788546255506606,201,3
66,-161.31747845120685,6.390878212451935,0.8055787500000001,16.72933367804286,33.89830508474576,205,3
67,-141.90773745539803,7.13718640089035,0.8060512500000001,15.871214324361986,45.714285714285715,200,6
68,-180.92642087967195,7.132972279787063,0.8065417500000001,17.863182511634808,11.574074074074074,204,3
69,-172.69671553637968,7.429216978549957,0.806355,17.380869874299176,27.06422018348624,201,3
70,-93.19094365218807,7.702723889350891,0.8058487500000001,13.579933380363222,12.612612612612612,204,3
71,-131.90710942698837,7.826153167486191,0.8060287500000001,15.43606216909161,34.92822966507177,200,3
72,-119.47998790182872,7.928460621833802,0.8060467500000001,14.905148135648737,21.658986175115206,200,3
73,-136.00555483442292,8.856099792718886,0.8052570000000001,15.560901319613613,26.51162790697674,203,3
74,-126.14481123050045,9.22506530046463,0.8057227500000002,15.064601638666446,32.432432432432435,200,3
75,-180.14499420529643,10.075742368698121,0.80662275,17.867691564940813,25.53191489361702,202,3
76,-154.08327255331614,9.681203504800797,0.806427,16.419231007528015,32.44444444444444,205,3
77,-166.28209036062128,10.254468374252319,0.8065867500000001,16.964390316449897,31.55339805825243,200,3
78,-140.37575619388758,10.921448845863342,0.80666775,15.842906799772518,29.72972972972973,202,3
79,-157.24978270916878,10.520842282772064,0.80590275,16.639916257705817,36.986301369863014,200,4
80,-194.57425243374092,10.713950926065445,0.8064585000000001,18.466641101231048,18.269230769230766,202,3
81,-97.4796667589357,11.644130313396454,0.8049397500000001,13.70002438623712,38.27751196172249,203,3
82,-130.0773286536674,12.61611665725708,0.8053357500000001,15.393964393810883,34.418604651162795,201,3
83,-146.08861621102338,12.31971120595932,0.8060467500000001,16.060753318446267,17.96116504854369,203,3
84,-161.35956023331872,13.096337641477584,0.8053425000000002,16.901706283863856,36.93693693693694,200,3
85,-160.72129908309248,13.935466973781585,0.8066272500000001,16.659867843875414,36.283185840707965,201,5
86,-175.95733915212608,14.135879974365235,0.8063257500000002,17.38436534224049,26.794258373205743,200,3
87,-151.0776485578271,14.29221270084381,0.8058982500000001,16.191532377367448,27.601809954751133,204,4
88,-212.67313133419853,14.451042416095733,0.8065417500000001,19.32192903248645,52.53456221198156,202,2
89,-175.98613055407378,15.626199617385865,0.80670375,17.687653922497493,43.859649122807014,200,2
90,-151.80847151317744,15.198324987888336,0.8067825000000002,16.339061827637476,21.12676056338028,205,3
91,-157.7287339114558,14.738227984905244,0.8064360000000002,16.337846259948655,41.474654377880185,202,3
92,-157.9903971410158,15.881456408500672,0.8061322500000001,16.748304810939143,31.308411214953267,206,3
93,-129.31496830605707,16.320732645988464,0.8057925000000001,15.156090450174615,29.14798206278027,201,3
94,-186.1240409720099,16.72438402414322,0.8059027500000002,18.022870908691665,21.645021645021643,201,3
95,-166.0748660232443,16.552406569719313,0.8064157500000002,17.061938927792852,21.75925925925926,202,3
96,-179.33882625716382,16.016156282424927,0.8064945,17.709936410490574,31.759656652360512,200,3
97,-160.31418589500274,15.787824547290802,0.8067397500000001,16.607881412081348,32.71028037383177,200,3
98,-118.81960636360658,16.891834049224855,0.806193,14.858968840471471,26.956521739130434,200,3
99,-172.65783659308173,16.20347467660904,0.80659125,17.496830945819127,35.24590163934426,201,4
100,-171.16956121783846,14.730004005432129,0.8066182500000002,17.334512107486123,26.168224299065418,201,4
101,-163.24791820088345,15.587568757534028,0.8064630000000002,16.95288707004324,49.0990990990991,200,3
102,-178.1430660318832,15.495632941722869,0.8065822500000002,17.675404369060594,53.55648535564853,204,2
103,-189.99575775356135,15.919587695598603,0.8066070000000002,18.201548748816855,24.166666666666668,200,4
104,-136.14843564228502,15.897374947071075,0.8059815,15.650390852907297,20.179372197309416,200,3
105,-156.73977777458197,16.045808913707734,0.8062087500000001,16.612797479794892,34.12322274881517,206,5
106,-197.96656762468243,15.857405924797058,0.806427,18.27774345477425,28.57142857142857,200,3
107,-161.2336242017989,17.252256672382355,0.80663175,16.763048341026305,39.91416309012876,202,4
108,-184.20227517423606,16.490172152519225,0.8065800000000002,17.94774415296186,48.81516587677725,202,3
109,-174.50526729790093,15.825658848285675,0.8064180000000002,17.470923495614837,22.22222222222222,203,3
110,-184.16088472479686,16.433396623134612,0.8065485000000001,18.050631915623168,40.18691588785047,200,3
111,-150.7782454407721,15.937087948322295,0.8067442500000002,16.404378056599484,30.51643192488263,201,3
112,-142.07509496925024,15.606698625087738,0.8062807500000002,15.905493175852623,8.450704225352112,202,3
113,-158.85123679819145,15.689883947372437,0.8065732500000001,16.550670468614317,34.61538461538461,203,3
114,-133.31972484924574,16.86546183824539,0.8052367500000003,15.562513683198086,26.666666666666668,200,3
115,-186.0686493782942,15.840174522399902,0.8052254999999999,17.992855417289853,28.31858407079646,200,4
116,-146.12639473327806,16.54707963228226,0.8064607500000003,15.95061934352911,24.561403508771928,209,3
117,-155.86787995813367,15.435980792045592,0.8056057500000001,16.653117389157806,28.57142857142857,202,3
118,-134.3860766796234,16.823994472026826,0.8066047500000002,15.56078304158285,22.666666666666664,200,3
119,-142.38810108488985,17.571504564285277,0.8058802500000002,15.728198461249463,31.336405529953915,200,3
120,-191.59943618962316,18.9533913064003,0.8065687500000002,18.298773652092986,40.54054054054054,202,3
121,-175.91774577644685,19.399185044765474,0.80660925,17.45445678105127,59.909909909909906,203,3
122,-145.5964952101301,17.51271390914917,0.8068702500000002,15.922024101596607,49.54545454545455,203,3
123,-176.0090768132168,18.892139353752135,0.8066790000000001,17.682431107706023,31.4410480349345,200,3
124,-171.37080239504192,19.082417657375334,0.8062830000000002,17.363882841444052,46.478873239436616,200,3
125,-164.80448938425653,19.99398132801056,0.8065080000000002,17.00814418120779,19.248826291079812,205,4
126,-129.007653291694,20.11482796192169,0.80581725,15.43353067360282,33.33333333333333,204,3
127,-132.00775461297462,19.64174140930176,0.8066722500000002,15.529231663591245,26.83982683982684,200,2
128,-127.83572987359175,18.838755900859834,0.8064000000000001,15.124573425656246,33.1858407079646,206,3
129,-146.22258994561415,21.168075478076936,0.8065957500000002,16.138036304307455,31.914893617021278,201,3
130,-155.63381434226807,21.95241163492203,0.8066632500000002,16.467338171364545,23.30508474576271,202,3
131,-130.80059446564223,21.44201021194458,0.8055900000000003,15.276609130453629,35.78431372549019,204,3
132,-195.86954016239184,21.886794712543487,0.8067262500000001,18.360755619923815,30.76923076923077,201,4
133,-147.26435733789424,23.60005623579025,0.8065845000000001,16.06143689034609,36.771300448430495,202,3
134,-124.25382716893982,23.32024821996689,0.8068230000000001,15.087891518506908,32.56880733944954,200,3
135,-156.39043934535948,22.764648072719574,0.8066182500000002,16.56456045578453,15.609756097560975,202,3
136,-185.27151785517333,22.23567533493042,0.8064225000000002,17.794884813928732,15.887850467289718,202,3
137,-175.87470365757903,21.849329161643983,0.8061300000000001,17.411740048416863,45.37444933920705,201,2
138,-208.9299583964527,22.025350251197814,0.8064360000000002,19.248603730411457,38.42364532019704,202,3
139,-155.33145594958665,23.40733961582184,0.8060647500000002,16.41909911625602,15.52511415525114,200,4
140,-156.22462712146273,22.47078626871109,0.8066745000000001,16.61734404839936,39.906103286384976,200,3
141,-148.43193219098475,22.618925094604492,0.80685225,16.22801184210724,34.234234234234236,202,3
142,-142.053801828262,21.219731440544127,0.8059612500000002,16.00381926494932,22.97872340425532,205,3
143,-132.1737469260205,20.535715584754943,0.8051445000000002,15.453445097649277,25.0,200,3
144,-151.68407234727184,23.017983582019806,0.8065147500000001,16.411764314270975,38.07531380753138,212,3
145,-125.39502207404998,22.11647225856781,0.8068365000000003,15.031226888850576,15.789473684210526,202,3
146,-177.8298839952791,21.810157890319825,0.8063482500000001,17.84385437500566,25.55066079295154,204,3
147,-189.47568989515335,22.698000910282136,0.8063662500000001,18.166795259895647,44.0,200,4
148,-151.7812191267246,22.061300649642945,0.8060490000000001,16.311894559040056,34.82142857142857,201,3
149,-155.1080896269562,24.272317984104156,0.8065012500000003,16.47865166753662,21.875,205,6
150,-140.93544983976034,21.012176609039308,0.8065350000000002,15.820067616254878,27.074235807860266,203,4
151,-151.82021446735322,22.65473931789398,0.8065035000000003,16.543384745141083,24.537037037037038,202,3
152,-170.5476596818499,21.486129691600798,0.8054910000000001,17.341200514747158,29.257641921397383,200,3
153,-121.84555971730488,22.6696173286438,0.8066925000000001,14.937287786180912,15.668202764976957,200,4
154,-191.93093793859052,22.421862759590148,0.8065327500000001,18.19546961195385,50.92592592592593,200,3
155,-143.723475638932,21.785749118328095,0.8068500000000003,15.74593043569167,22.321428571428573,200,4
156,-170.67875303550304,20.243120806217192,0.8065575000000001,17.319245564816345,18.099547511312217,200,3
157,-149.58042674034454,21.897196445465088,0.8057520000000002,16.223120591112746,17.94871794871795,200,3
158,-140.1990520155376,21.273341007232666,0.8055990000000003,15.73778480164874,21.71945701357466,202,3
159,-127.65173920174188,20.851168825626374,0.8056327500000002,15.19540793909176,23.74429223744292,202,3
160,-156.3665631120588,21.173906404972076,0.8060692500000002,16.408222761692866,28.82882882882883,202,3
161,-164.5803555971345,21.465470798015595,0.8064652500000001,16.992671775907276,19.555555555555557,200,3
162,-154.05980717624703,21.709313418865204,0.8056305,16.596017818686473,23.275862068965516,203,3
163,-129.2591936905513,20.662050681114195,0.8056507500000001,15.23931482223922,7.174887892376682,200,3
164,-124.66715008089577,20.139251050949095,0.8051332500000001,15.076548024946238,10.050251256281408,200,3
165,-165.24403173563343,21.473522517681122,0.8055652500000002,16.991254516421222,28.019323671497588,200,3
166,-171.96482211018628,22.458471336364745,0.8066205000000001,17.27815750364424,18.83408071748879,200,3
167,-143.18551930194198,23.212460367679597,0.8057452500000002,16.02180897214393,10.74766355140187,200,3
168,-108.67645516248405,22.84674498319626,0.8048790000000001,14.044978217797764,23.25581395348837,200,3
