episode,reward,loss,energy_saving,latency,sla_violations,active_links,cluster_count,computation_time
79,-236219.76550647445,944.1326605224609,0.8249985000000001,22.81244479203052,38.604651162790695,153,3,93.76381278038025
80,-174141.88874032508,952.9733245849609,0.82477575,23.241241435549412,51.31578947368421,156,2,93.2651162147522
81,-281637.5051796976,937.9170208740235,0.8252550000000001,20.73800179383486,40.35874439461883,151,4,94.23704981803894
82,-173929.67517684598,951.6063674926758,0.82509975,23.21848775632458,57.676348547717836,153,3,92.30389595031738
83,-187258.9451428876,948.686410522461,0.8252932499999999,22.641685690442966,54.418604651162795,152,2,93.42038035392761
84,-267549.11722840887,942.7538772583008,0.8254395,22.062232167481497,48.292682926829265,152,3,93.29614400863647
85,-207194.32500904342,948.583606262207,0.82446975,21.47579076153108,48.24561403508772,158,2,94.33810710906982
86,-155487.4377412664,947.1603616333008,0.8252504999999999,23.482243219116004,42.129629629629626,152,3,98.99770975112915
87,-197449.92345394197,947.8606106567382,0.8239882499999999,19.932428205887064,33.04347826086956,155,3,98.2346773147583
88,-153503.3195631615,964.1234161376954,0.82369125,22.62402899648391,53.879310344827594,152,3,92.10493206977844
89,-327477.4202277211,973.0957586669922,0.8252032499999999,20.304818821886187,46.3963963963964,154,2,96.37554407119751
90,-347612.96021725767,961.4383050537109,0.8252572499999999,19.865304581692158,42.616033755274266,151,2,97.0513927936554
91,-231922.01036409911,986.6874362182617,0.82531575,23.550690674114776,50.717703349282296,150,3,97.2945511341095
92,-204089.03027453326,987.8626364135743,0.82500075,23.5134826537547,40.082644628099175,150,3,98.0275809764862
93,-204092.94155507078,1002.7096325683593,0.82525275,23.970222169272155,51.36363636363637,151,2,95.18732190132141
94,-151345.31591220078,986.0762771606445,0.8252189999999999,24.971166109841334,61.53846153846154,154,2,94.29555416107178
95,-268681.94296479505,991.8651727294922,0.8249692500000001,22.328663892661403,61.30434782608696,150,2,95.45032501220703
96,-198027.62480985757,1006.5489474487305,0.825318,23.32844913005447,40.95238095238095,154,4,96.42244696617126
97,-102187.98880288632,1022.1445443725586,0.8245507499999999,24.548231362450917,59.06976744186046,150,3,95.80449342727661
98,-77609.29464381104,1017.2163293457031,0.8132759999999999,28.384140262517104,41.409691629955944,151,3,82.15616226196289
99,-73201.50571977308,1018.9597561645508,0.8191709999999999,27.709697686603853,61.75115207373272,156,2,83.6216413974762
100,-167399.22118326242,1007.4497760009766,0.825327,23.934605425906273,59.57446808510638,158,2,94.3428122997284
