step,reward,loss,energy_saving,latency
0,0.8991,0.08621018379926682,0.8991,0.0
1,0.6591,0.0958198830485344,0.8991,100.0
2,0.6591,0.04012105613946915,0.8991,100.0
3,0.6591,0.14770439267158508,0.8991,100.0
4,0.6591,0.04035666957497597,0.8991,100.0
5,0.6591,0.19993263483047485,0.8991,100.0
6,0.6591,0.09262550622224808,0.8991,100.0
7,0.6591,0.04207329824566841,0.8991,100.0
8,0.6591,0.10583513975143433,0.8991,100.0
9,0.6591,0.09446073323488235,0.8991,100.0
10,0.6591,0.3589031398296356,0.8991,100.0
11,0.5391,0.14984947443008423,0.8991,150.0
12,0.4191,0.2036592960357666,0.8991,200.0
13,0.5391,0.10168824344873428,0.8991,150.0
14,0.4191,0.0966266393661499,0.8991,200.0
15,0.5391,0.09753793478012085,0.8991,150.0
16,0.4191,0.046696703881025314,0.8991,200.0
17,0.29910000000000003,0.2008943259716034,0.8991,250.0
18,0.4191,0.09810789674520493,0.8991,200.0
19,0.4191,0.1546182781457901,0.8991,200.0
20,0.4191,0.04028405621647835,0.8991,200.0
21,0.4191,0.14222249388694763,0.8991,200.0
22,0.4191,0.04324056953191757,0.8991,200.0
23,0.6591,0.20063024759292603,0.8991,100.0
24,0.6591,0.25179609656333923,0.8991,100.0
25,0.7791,0.08694185316562653,0.8991,50.0
26,0.7791,0.0885409414768219,0.8991,50.0
27,0.8991,0.09337589889764786,0.8991,0.0
28,0.8991,0.19794832170009613,0.8991,0.0
29,0.8991,0.09843647480010986,0.8991,0.0
30,0.8991,0.1488369107246399,0.8991,0.0
31,0.7791,0.20349523425102234,0.8991,50.0
32,0.7791,0.040823522955179214,0.8991,50.0
33,0.8991,0.04110605642199516,0.8991,0.0
34,0.8991,0.04876647889614105,0.8991,0.0
35,0.7791,0.07848110049962997,0.8991,50.0
36,0.7791,0.039090629667043686,0.8991,50.0
37,0.6591,0.03828158229589462,0.8991,100.0
38,0.5391,0.09963785111904144,0.8991,150.0
39,0.4191,0.037064265459775925,0.8991,200.0
40,0.29910000000000003,0.09300756454467773,0.8991,250.0
41,0.29910000000000003,0.036218322813510895,0.8991,250.0
42,0.29910000000000003,0.09886033833026886,0.8991,250.0
43,0.29910000000000003,0.045969970524311066,0.8991,250.0
44,0.17910000000000004,0.25982868671417236,0.8991,300.0
45,0.4191,0.09418521076440811,0.8991,200.0
46,0.5391,0.14475801587104797,0.8991,150.0
47,0.7791,0.09932271391153336,0.8991,50.0
48,0.8991,0.03980729728937149,0.8991,0.0
49,0.7791,0.08987043052911758,0.8991,50.0
50,0.6591,0.03928850591182709,0.8991,100.0
51,0.5391,0.0904996395111084,0.8991,150.0
52,0.6591,0.14609605073928833,0.8991,100.0
53,0.8991,0.09724459797143936,0.8991,0.0
54,0.7791,0.09587694704532623,0.8991,50.0
55,0.5391,0.14644932746887207,0.8991,150.0
56,0.5391,0.0998106300830841,0.8991,150.0
57,0.5391,0.045057982206344604,0.8991,150.0
58,0.4191,0.15061889588832855,0.8991,200.0
59,0.29910000000000003,0.091976098716259,0.8991,250.0
60,0.29910000000000003,0.10046233981847763,0.8991,250.0
61,0.4191,0.20133332908153534,0.8991,200.0
62,0.6591,0.15176543593406677,0.8991,100.0
63,0.6591,0.19740495085716248,0.8991,100.0
64,0.6591,0.21267901360988617,0.8991,100.0
65,0.7791,0.04851619899272919,0.8991,50.0
66,0.6591,0.0443790927529335,0.8991,100.0
67,0.6591,0.08907830715179443,0.8991,100.0
68,0.5391,0.249094620347023,0.8991,150.0
69,0.4191,0.1959480494260788,0.8991,200.0
70,0.5391,0.15351150929927826,0.8991,150.0
71,0.29910000000000003,0.03928736597299576,0.8991,250.0
72,0.17910000000000004,0.2573096752166748,0.8991,300.0
73,0.5391,0.19958119094371796,0.8991,150.0
74,0.7791,0.19706730544567108,0.8991,50.0
75,0.6591,0.2052193284034729,0.8991,100.0
76,0.7791,0.15908916294574738,0.8991,50.0
77,0.7791,0.04281923919916153,0.8991,50.0
78,0.6591,0.04037562012672424,0.8991,100.0
79,0.7791,0.09604203701019287,0.8991,50.0
80,0.6591,0.09936255216598511,0.8991,100.0
81,0.6591,0.14968562126159668,0.8991,100.0
82,0.6591,0.04672412574291229,0.8991,100.0
83,0.6591,0.2007865607738495,0.8991,100.0
84,0.6591,0.19317883253097534,0.8991,100.0
85,0.6591,0.2139461487531662,0.8991,100.0
86,0.5391,0.09470434486865997,0.8991,150.0
87,0.5391,0.14468169212341309,0.8991,150.0
88,0.5391,0.19818150997161865,0.8991,150.0
89,0.5391,0.041472431272268295,0.8991,150.0
90,0.4191,0.0389852300286293,0.8991,200.0
91,0.4191,0.08816935122013092,0.8991,200.0
92,0.5391,0.09050077944993973,0.8991,150.0
93,0.7791,0.1415136307477951,0.8991,50.0
94,0.8991,0.19704893231391907,0.8991,0.0
95,0.7791,0.0928889811038971,0.8991,50.0
96,0.6591,0.04118020832538605,0.8991,100.0
97,0.6591,0.10445650666952133,0.8991,100.0
98,0.6591,0.2506347596645355,0.8991,100.0
99,0.6591,0.0983213260769844,0.8991,100.0
100,0.6591,0.208732470870018,0.8991,100.0
101,0.5391,0.15488341450691223,0.8991,150.0
102,0.5391,0.15814462304115295,0.8991,150.0
103,0.5391,0.09830179065465927,0.8991,150.0
104,0.4191,0.09664894640445709,0.8991,200.0
105,0.29910000000000003,0.16305303573608398,0.8991,250.0
106,0.17910000000000004,0.10136981308460236,0.8991,300.0
107,0.17910000000000004,0.15522481501102448,0.8991,300.0
108,0.29910000000000003,0.04613397270441055,0.8991,250.0
109,0.29910000000000003,0.1538497656583786,0.8991,250.0
110,0.29910000000000003,0.04162672162055969,0.8991,250.0
111,0.4191,0.09082929790019989,0.8991,200.0
112,0.5391,0.09502493590116501,0.8991,150.0
113,0.6591,0.04233194515109062,0.8991,100.0
114,0.6591,0.0947258397936821,0.8991,100.0
115,0.7791,0.14843589067459106,0.8991,50.0
116,0.7791,0.136336550116539,0.8991,50.0
117,0.7791,0.16243037581443787,0.8991,50.0
118,0.7791,0.10443748533725739,0.8991,50.0
119,0.7791,0.15472613275051117,0.8991,50.0
120,0.7791,0.098666712641716,0.8991,50.0
121,0.7791,0.052701160311698914,0.8991,50.0
122,0.8991,0.13780489563941956,0.8991,0.0
123,0.6591,0.10219962149858475,0.8991,100.0
124,0.6591,0.10363303124904633,0.8991,100.0
125,0.7791,0.20489494502544403,0.8991,50.0
126,0.7791,0.09689360857009888,0.8991,50.0
127,0.7791,0.10797259211540222,0.8991,50.0
128,0.6591,0.2058979719877243,0.8991,100.0
129,0.5391,0.21677957475185394,0.8991,150.0
130,0.5391,0.05546123906970024,0.8991,150.0
131,0.7791,0.1496126502752304,0.8991,50.0
132,0.7791,0.10426134616136551,0.8991,50.0
133,0.6591,0.15693822503089905,0.8991,100.0
134,0.6591,0.20072215795516968,0.8991,100.0
135,0.6591,0.15491145849227905,0.8991,100.0
136,0.5391,0.106499083340168,0.8991,150.0
137,0.5391,0.10141497850418091,0.8991,150.0
138,0.5391,0.04655057564377785,0.8991,150.0
139,0.5391,0.04166844114661217,0.8991,150.0
140,0.6591,0.26580530405044556,0.8991,100.0
141,0.6591,0.1040271669626236,0.8991,100.0
142,0.7791,0.15815198421478271,0.8991,50.0
143,0.7791,0.15454162657260895,0.8991,50.0
144,0.7791,0.1136590987443924,0.8991,50.0
145,0.7791,0.21395955979824066,0.8991,50.0
146,0.8991,0.10613442212343216,0.8991,0.0
147,0.7791,0.04053368419408798,0.8991,50.0
148,0.7791,0.14891262352466583,0.8991,50.0
149,0.6591,0.049782440066337585,0.8991,100.0
150,0.5391,0.10759027302265167,0.8991,150.0
151,0.6591,0.10247085988521576,0.8991,100.0
152,0.6591,0.15508902072906494,0.8991,100.0
153,0.6591,0.15216103196144104,0.8991,100.0
154,0.6591,0.05182575061917305,0.8991,100.0
155,0.7791,0.10625369846820831,0.8991,50.0
156,0.8991,0.10263141244649887,0.8991,0.0
157,0.7791,0.0989474281668663,0.8991,50.0
158,0.7791,0.22572775185108185,0.8991,50.0
159,0.7791,0.10671314597129822,0.8991,50.0
160,0.7791,0.04438631236553192,0.8991,50.0
161,0.6591,0.20395569503307343,0.8991,100.0
162,0.6591,0.10476545989513397,0.8991,100.0
163,0.6591,0.10436135530471802,0.8991,100.0
164,0.5391,0.09574111551046371,0.8991,150.0
165,0.5391,0.19767576456069946,0.8991,150.0
166,0.4191,0.1535205841064453,0.8991,200.0
167,0.6591,0.2531156837940216,0.8991,100.0
168,0.5391,0.05013485252857208,0.8991,150.0
169,0.5391,0.10361213237047195,0.8991,150.0
170,0.4191,0.2022669017314911,0.8991,200.0
171,0.4191,0.19891858100891113,0.8991,200.0
172,0.5391,0.14720278978347778,0.8991,150.0
173,0.5391,0.04680566489696503,0.8991,150.0
174,0.6591,0.1566217839717865,0.8991,100.0
175,0.5391,0.15707610547542572,0.8991,150.0
176,0.29910000000000003,0.1032024398446083,0.8991,250.0
177,0.4191,0.056922730058431625,0.8991,200.0
178,0.6591,0.05145379155874252,0.8991,100.0
179,0.7791,0.05028321221470833,0.8991,50.0
180,0.7791,0.09285058826208115,0.8991,50.0
181,0.5391,0.05461619794368744,0.8991,150.0
182,0.5391,0.09765444695949554,0.8991,150.0
183,0.5391,0.04289143532514572,0.8991,150.0
184,0.5391,0.09799712151288986,0.8991,150.0
185,0.5391,0.09041599929332733,0.8991,150.0
186,0.5391,0.08572154492139816,0.8991,150.0
187,0.5391,0.09868451952934265,0.8991,150.0
188,0.6591,0.21672436594963074,0.8991,100.0
189,0.7791,0.09198775887489319,0.8991,50.0
190,0.7791,0.09979662299156189,0.8991,50.0
191,0.7791,0.1530822068452835,0.8991,50.0
192,0.8991,0.09664951264858246,0.8991,0.0
193,0.7791,0.20427511632442474,0.8991,50.0
194,0.7791,0.19614672660827637,0.8991,50.0
195,0.6591,0.09789655357599258,0.8991,100.0
196,0.6591,0.1016557365655899,0.8991,100.0
197,0.6591,0.09849662333726883,0.8991,100.0
198,0.6591,0.10376912355422974,0.8991,100.0
199,0.7791,0.2561872899532318,0.8991,50.0
