episode,reward,loss,energy_saving,latency,sla_violations,active_links,cluster_count
1,-184.75772699434572,0.0,0.6875999999999999,16.86592535957452,34.112149532710276,472,1
2,-186.78257208385958,24.838557361734324,0.6875977499999999,16.933999927334476,32.743362831858406,472,1
3,-191.5463070206245,6.547378487586975,0.6875977499999999,17.194812958346272,32.863849765258216,472,1
4,-185.12316880501552,0.790589030534029,0.6875999999999999,16.873840777016504,32.743362831858406,472,1
5,-190.1877381948593,0.634991853684187,0.6875999999999999,17.1229305458483,36.72566371681416,472,1
6,-191.16609412590017,0.521880760639906,0.6875999999999999,17.144294848166233,33.47457627118644,472,1
7,-186.59072358749202,0.527383601218462,0.6875999999999999,16.940837299127942,34.08071748878923,472,1
8,-189.84035560286617,0.2608259551227093,0.6875999999999999,17.087897263097663,32.863849765258216,472,1
9,-189.24728357614015,0.31842203125357627,0.6875999999999999,17.071841353903867,35.3448275862069,472,1
10,-193.3684810204461,0.35828735955059526,0.6875999999999999,17.262855834872607,34.95575221238938,472,1
11,-189.75099092440777,0.3043801358342171,0.6875977499999999,17.10595142456505,33.177570093457945,472,1
12,-181.1645013472512,0.3298288582265377,0.6875977499999999,16.699780619176916,29.107981220657276,472,1
13,-187.38342243687416,0.3639806561172009,0.6875999999999999,16.983861245737934,30.80568720379147,472,1
14,-188.41031748433963,0.3756752063333988,0.6875999999999999,17.0078924141949,34.29951690821256,472,1
15,-186.2279363302113,0.4015322352945805,0.6875999999999999,16.9448306765935,29.14798206278027,472,1
16,-184.07152512932828,0.43290630117058754,0.6875999999999999,16.82278028944746,30.94170403587444,472,1
17,-192.97386783768442,0.45010016158223154,0.6875999999999999,17.251286139154836,30.33175355450237,472,1
18,-191.3228518931584,0.46042841717600824,0.6875999999999999,17.16176243692557,32.075471698113205,472,1
19,-190.32636923520263,0.47926417738199234,0.6875999999999999,17.13238327745141,32.57918552036199,472,1
20,-191.92563495636492,0.5004611720144748,0.6875999999999999,17.21235169061699,35.55555555555556,472,1
21,-184.9285220116145,0.5185099002718926,0.6875999999999999,16.870959560785362,33.48837209302326,472,1
22,-189.72159587055276,0.5295942363142967,0.6875999999999999,17.09581006541247,33.0188679245283,472,1
23,-190.7198878358127,0.5403192728757858,0.6875999999999999,17.149129043066388,33.61344537815126,472,1
24,-183.88428810132498,0.5347171154618263,0.6875999999999999,16.80103013865755,33.054393305439326,472,1
25,-189.8979395606281,0.5319966894388198,0.6875999999999999,17.10479323318738,33.789954337899545,472,1
26,-193.3368680672208,0.5822851736843586,0.6875999999999999,17.2642566052967,32.142857142857146,472,1
27,-187.61286115224894,0.5610218921303749,0.6875999999999999,16.988907331961496,31.277533039647576,472,1
28,-193.47297424867352,0.5482434543967247,0.6875999999999999,17.2958092027633,33.94495412844037,472,1
29,-186.15449441601223,0.5297074836492538,0.6875977499999999,16.92826803115671,33.33333333333333,472,1
30,-188.24520644608785,0.5685563111305236,0.6875999999999999,17.031746532385696,37.27272727272727,472,1
31,-184.46495925915215,0.5645312196016312,0.6875999999999999,16.837140927635232,30.252100840336134,472,1
32,-189.1112504983096,0.5704197554290295,0.6875977499999999,17.06389174151351,34.59715639810427,472,1
33,-187.03069832804795,0.5412677177786827,0.6875999999999999,16.952273061781774,30.22222222222222,472,1
34,-186.9932708943125,0.5708707381784915,0.6875999999999999,16.960026827272376,28.502415458937197,472,1
35,-192.9682278302987,0.5918694205582142,0.6875999999999999,17.23665410986131,31.330472103004293,472,1
36,-185.377109131005,0.5975622557103634,0.6875999999999999,16.900258289110123,30.93220338983051,472,1
37,-192.42140825992024,0.5908723901212215,0.6875977499999999,17.21339699391501,32.89473684210527,472,1
38,-190.0093861360423,0.6207364816963673,0.6875999999999999,17.1070098756472,31.65137614678899,472,1
39,-187.3850383682236,0.6459709432721138,0.6875999999999999,16.999011273487863,31.53153153153153,472,1
40,-190.2993169839259,0.6700555960834026,0.6875999999999999,17.129449291293586,33.33333333333333,472,1
41,-188.06617158154964,0.6585760696232319,0.6875999999999999,17.013987835162922,32.142857142857146,472,1
42,-193.36775778195377,0.6789118853211403,0.6875999999999999,17.25421969876862,31.16883116883117,472,1
43,-182.88138156156634,0.6705409710109234,0.6875977499999999,16.763689664123188,32.03463203463203,472,1
44,-188.0848149721188,0.6810240414738655,0.6875999999999999,17.015887742071765,32.88888888888889,472,1
45,-187.9788716325508,0.6854796501994133,0.6875999999999999,17.002694197492236,32.17391304347826,472,1
46,-192.60593407503384,0.7272170205414296,0.6875999999999999,17.206404314287013,35.51401869158878,472,1
47,-186.91811008148042,0.7167156863212586,0.6875999999999999,16.965464686633805,32.314410480349345,472,1
48,-182.35940121662765,0.7235076178610325,0.6875999999999999,16.741761476219644,30.666666666666664,472,1
49,-190.94567229954865,0.7096929493546486,0.6875999999999999,17.133092107193434,33.48623853211009,472,1
50,-184.58576785272106,0.6665648736059666,0.6875999999999999,16.853524666603388,30.73170731707317,472,1
