episode,reward,loss,energy_saving,latency,sla_violations,active_links,cluster_count,computation_time
1,-134.4439372304929,0.0,0.6875999999999999,14.438572682534144,27.67857142857143,472,1,35.137120485305786
2,-135.4351891981218,14.366543945772895,0.6875977499999999,14.475398803293825,24.782608695652176,472,1,35.583059787750244
3,-134.8055947530053,3.4274767373502253,0.6875999999999999,14.465819861066597,25.77777777777778,472,1,35.55438160896301
4,-128.18161784974768,0.9226464927196503,0.6875999999999999,14.13473270730587,25.213675213675213,472,1,36.02461218833923
5,-129.856914734541,0.11566119089722633,0.6875999999999999,14.221529722118559,25.10460251046025,472,1,35.697869062423706
6,-134.80472774087852,0.1380928299948573,0.6875999999999999,14.453000239785819,27.522935779816514,472,1,35.81970572471619
7,-132.51603498493745,0.18631988484412432,0.6875954999999999,14.335544221648345,24.890829694323145,472,1,36.9763457775116
8,-134.14820163939032,0.2429333659261465,0.6875954999999999,14.421343057793424,25.43103448275862,472,1,36.605496406555176
9,-124.65283472093633,0.3034316025674343,0.6875954999999999,13.963877047761658,27.44186046511628,472,1,36.83556079864502
10,-136.7629873194035,0.3711353635787964,0.6875999999999999,14.55577140995228,23.893805309734514,472,1,36.792616844177246
11,-134.12494886290705,0.42394918486475947,0.6875999999999999,14.408085883204143,25.44642857142857,472,1,36.84877038002014
12,-131.26323889537036,0.4651891525089741,0.6875932499999999,14.2843555613962,24.229074889867842,472,1,36.618090867996216
13,-128.83954247910734,0.507629606872797,0.6875954999999999,14.181464204021516,26.431718061674008,472,1,36.89464330673218
14,-131.3305151732146,0.5329927100241184,0.6875999999999999,14.278604075238704,25.112107623318387,472,1,36.73628091812134
15,-129.9403874464724,0.5690411068499088,0.6875999999999999,14.23579736069296,27.038626609442062,472,1,37.35665678977966
16,-129.38021148880983,0.5983883807063103,0.6875999999999999,14.18987204813228,26.382978723404253,472,1,36.297407150268555
17,-128.2622522415836,0.6133825838565826,0.6875977499999999,14.1314975194744,24.8868778280543,472,1,37.05017805099487
18,-129.71135622682178,0.6510937511920929,0.6875999999999999,14.19696798160504,26.180257510729614,472,1,36.68713331222534
19,-129.18762692498368,0.6717902436852455,0.6875999999999999,14.183860643359267,25.663716814159294,472,1,36.89881086349487
20,-131.29840832935886,0.7014930638670921,0.6875999999999999,14.26518391274429,25.102880658436217,472,1,36.926143169403076
21,-132.87936684710834,0.7299901822209358,0.6875999999999999,14.374542119368957,28.82882882882883,472,1,36.5498948097229
22,-128.89535221358148,0.7499172356724739,0.6875999999999999,14.164878518546338,26.25,472,1,36.94220185279846
23,-133.0836357537827,0.7364838075637817,0.6875999999999999,14.38973184272012,25.675675675675674,472,1,36.657676696777344
24,-132.9671417589832,0.7594640102982521,0.6875999999999999,14.368879313776095,26.495726495726498,472,1,37.0263946056366
25,-132.05495452083846,0.7626361578702927,0.6875954999999999,14.295899318868,24.63054187192118,472,1,37.135385274887085
26,-126.85725023694563,0.7525637191534043,0.6875954999999999,14.07445392381744,22.807017543859647,472,1,36.92736268043518
27,-131.97223034723743,0.7530106484889985,0.6875999999999999,14.323782182671406,24.770642201834864,472,1,37.240188121795654
28,-131.75274015369865,0.7497020372748375,0.6875864999999999,14.268555127925378,26.605504587155966,472,1,36.656800508499146
29,-132.5754896316872,0.7882815223932266,0.6875999999999999,14.339039854388702,26.36363636363636,472,1,36.96422338485718
30,-129.52394528137143,0.7662912020087242,0.6875977499999999,14.198384274929381,27.111111111111114,472,1,36.390018463134766
31,-131.9717535750272,0.7638306739926338,0.6875999999999999,14.309709660034041,23.636363636363637,472,1,36.48612380027771
32,-128.41965827170452,0.8165747314691544,0.6875887499999999,14.163410603336226,24.444444444444443,472,1,36.71438217163086
33,-132.17268666420293,0.8001126337051392,0.6875909999999998,14.30820736909003,23.893805309734514,472,1,36.455920934677124
34,-129.27129273706268,0.822536826133728,0.6875954999999999,14.176392403924075,19.32367149758454,472,1,36.95841312408447
35,-133.30667535679208,0.8081117907166481,0.6875977499999999,14.359863692626991,25.229357798165136,472,1,36.124091148376465
36,-129.6412396487022,0.8193737778067589,0.6875819999999999,14.2180038710403,28.169014084507044,472,1,37.1605658531189
37,-133.8452132221449,0.8177392563223839,0.6875999999999999,14.427959764414394,26.72413793103448,472,1,36.285245418548584
